日期,开盘,收盘,高,低,涨跌幅
2015年9月8日,239.6,243.2,246.4,239.2,0.0153
2015年9月9日,243.2,237.4,244.3,236.5,-0.024
2016年10月10日,615.8,617.3,618.8,612.8,0.0025
2016年10月11日,617.3,640.5,642.3,615.6,0.0375
2016年10月12日,640.5,636,642.5,632.2,-0.007
2016年10月13日,636,635.6,639.5,632.3,-0.0006
2016年10月14日,635.6,637.9,640.5,630.7,0.0037
2016年10月15日,637.9,637,641.4,635.1,-0.0014
2016年10月16日,637,640.1,642.2,636.4,0.0049
2016年10月17日,640.1,637.4,641.3,634.9,-0.0043
2016年10月18日,637.4,635.3,639.3,632.2,-0.0032
2016年10月19日,635.3,629.1,637.3,624.1,-0.0099
2016年10月1日,608.1,613.4,615,607.1,0.0087
2016年10月20日,629.1,628.3,630.8,625.5,-0.0011
2016年10月21日,628.3,630.5,633.3,627.6,0.0034
2016年10月22日,630.5,655.5,659.9,629.7,0.0397
2016年10月23日,655.5,653,661.2,648.8,-0.0037
2016年10月24日,653,650.5,654.3,645.7,-0.0039
2016年10月25日,650.5,651,662.5,647.7,0.0008
2016年10月26日,651,674.7,678.4,651.4,0.0364
2016年10月27日,674.7,682.3,687.9,672.3,0.0113
2016年10月28日,682.3,686.2,688.4,678.6,0.0058
2016年10月29日,686.2,715,720.2,685.2,0.0418
2016年10月2日,613.4,610.7,614.2,607.7,-0.0044
2016年10月30日,715,697.3,714.9,689.5,-0.0247
2016年10月31日,697.3,698.7,707.2,682.2,0.002
2016年10月3日,610.7,611.6,613.2,608.5,0.0015
2016年10月4日,611.6,609,612.7,606.5,-0.0043
2016年10月5日,609,611.8,613.7,608,0.0047
2016年10月6日,611.8,611,612.7,608.5,-0.0014
2016年10月7日,611,616,619.4,609.1,0.0083
2016年10月8日,616,617.7,619.6,614.9,0.0026
2016年10月9日,617.7,615.8,618.3,613,-0.003
2016年11月10日,721.4,714.6,723,707.3,-0.0095
2016年11月11日,714.6,715,719.8,711.7,0.0006
2016年11月12日,715,704.3,717.4,701.1,-0.015
2016年11月13日,704.3,702,705.6,685,-0.0033
2016年11月14日,702,704.6,708,696.1,0.0037
2016年11月15日,704.6,711.1,716.9,697.9,0.0093
2016年11月16日,711.1,740.3,746,708.1,0.041
2016年11月17日,740.3,737.5,751.9,730.1,-0.0037
2016年11月18日,737.5,747,751.4,731,0.0128
2016年11月19日,747,747.9,755.3,737.4,0.0012
2016年11月1日,698.7,726.8,734.4,695.2,0.0402
2016年11月20日,747.9,728.5,752.3,712.8,-0.0259
2016年11月21日,728.5,736.2,744.3,726.5,0.0105
2016年11月22日,736.2,749.3,754,730.6,0.0179
2016年11月23日,749.3,741.1,750.9,731.3,-0.011
2016年11月24日,741.1,735.3,744.2,726.2,-0.0078
2016年11月25日,735.3,740.4,741.3,729,0.0069
2016年11月26日,740.4,734.1,741,725.6,-0.0084
2016年11月27日,734.1,729.4,738.3,727.1,-0.0064
2016年11月28日,729.4,733.3,738.1,727.7,0.0053
2016年11月29日,733.3,732.6,737,727.8,-0.001
2016年11月2日,726.8,733.5,735.8,718.1,0.0093
2016年11月30日,732.6,742.5,745.4,730.6,0.0136
2016年11月3日,733.5,684.9,744.4,670.4,-0.0663
2016年11月4日,684.9,702.1,706.6,681.3,0.0251
2016年11月5日,702.1,702.1,706.4,694,0
2016年11月6日,702.1,709.9,714.1,697.6,0.0111
2016年11月7日,709.9,705.4,711.7,698.3,-0.0064
2016年11月8日,705.4,710.9,714.6,701,0.0078
2016年11月9日,710.9,721.4,741.2,707.1,0.0148
2016年12月10日,770.5,774,777,769.2,0.0046
2016年12月11日,774,767.9,774.2,763,-0.0079
2016年12月12日,767.9,778.5,781.3,767.9,0.0138
2016年12月13日,778.5,778.7,790.3,767.8,0.0003
2016年12月14日,778.7,776.5,780.8,771,-0.0029
2016年12月15日,776.5,775.2,780.3,773.1,-0.0017
2016年12月16日,775.2,782,783.9,773.3,0.0088
2016年12月17日,782,787.2,791.6,779.4,0.0065
2016年12月18日,787.2,789,791.3,783.8,0.0023
2016年12月19日,789,789.8,793.7,786.3,0.001
2016年12月1日,742.5,752.6,755.5,741.1,0.0137
2016年12月20日,789.8,799.1,800,787.1,0.0118
2016年12月21日,799.1,829.2,833.1,796,0.0377
2016年12月22日,829.2,860.2,874.7,828.9,0.0373
2016年12月23日,860.2,917.2,920.3,858,0.0663
2016年12月24日,917.2,891.1,920.5,880.8,-0.0285
2016年12月25日,891.1,891.1,895.2,851.4,0
2016年12月26日,891.1,898.4,909.3,885.9,0.0082
2016年12月27日,898.4,925.8,937.9,893.4,0.0305
2016年12月28日,925.8,972.2,974.5,925.5,0.0501
2016年12月29日,972.2,971.1,982.6,949.2,-0.0011
2016年12月2日,752.6,770.9,779,752.3,0.0243
2016年12月30日,971.1,959,971.6,927.4,-0.0124
2016年12月31日,959,963.4,965.5,942.4,0.0045
2016年12月3日,770.9,764.2,772.3,755.8,-0.0087
2016年12月4日,764.2,766.4,769.2,758.8,0.0028
2016年12月5日,766.4,754.3,769.2,746,-0.0157
2016年12月6日,754.3,758.2,762.5,750.9,0.0051
2016年12月7日,758.2,765.6,769,754.3,0.0097
2016年12月8日,765.6,768.5,773.4,761.2,0.0038
2016年12月9日,768.5,770.5,773.5,765,0.0026
2016年1月10日,448.3,446.2,448.9,438.6,-0.0047
2016年1月11日,446.2,447.7,451.1,441.8,0.0034
2016年1月12日,447.7,445,448.4,443.1,-0.006
2016年1月13日,445,432.2,443.7,420.4,-0.0289
2016年1月14日,432.2,429.1,433.7,427,-0.0071
2016年1月15日,429.1,372.3,430.1,364.7,-0.1325
2016年1月16日,372.3,385,386.7,350.4,0.0343
2016年1月17日,385,382.5,390.7,377.7,-0.0067
2016年1月18日,382.5,384.4,387.3,373.2,0.005
2016年1月19日,384.4,379.5,386.7,375.9,-0.0129
2016年1月1日,430,434,438,425.9,0.0094
2016年1月20日,379.5,414.6,425.7,374,0.0926
2016年1月21日,414.6,410.2,423.4,403.9,-0.0105
2016年1月22日,410.2,382.6,411.5,374.9,-0.0673
2016年1月23日,382.6,388.6,395.4,380.3,0.0156
2016年1月24日,388.6,402.1,405.4,385.5,0.0348
2016年1月25日,402.1,392.8,403.8,386.9,-0.0233
2016年1月26日,392.8,389.8,397.7,387.9,-0.0076
2016年1月27日,389.8,395,397.4,389.4,0.0134
2016年1月28日,395,379.7,395.4,376.7,-0.0388
2016年1月29日,379.7,380.3,385.8,363.5,0.0016
2016年1月2日,434,433.7,437.4,430.7,-0.0006
2016年1月30日,380.3,377.8,381.8,375,-0.0067
2016年1月31日,377.8,369.8,380.5,366.9,-0.021
2016年1月3日,433.7,430.7,434.1,423.1,-0.007
2016年1月4日,430.7,433.3,435.3,428.6,0.0061
2016年1月5日,433.3,431.2,435.3,428.9,-0.0049
2016年1月6日,431.2,430.8,432.1,425,-0.0009
2016年1月7日,430.8,457,457.5,428.5,0.0609
2016年1月8日,457,452.9,462.9,446.5,-0.0091
